episode,timestep,reward
4625,231300,-145.2255
4631,231600,-161.6561
4637,231900,-143.0484
4643,232200,-153.7837
4649,232500,-131.5353
4655,232800,-160.1872
4661,233100,-146.0469
4667,233400,-101.7269
4673,233700,-156.0375
4679,234000,-163.7054
4685,234300,-115.0882
4691,234600,-161.2313
4697,234900,-139.7811
4703,235200,-94.1221
4709,235500,-159.5118
4715,235800,-150.3051
4721,236100,-149.3251
4727,236400,-134.0481
4733,236700,-128.1713
4739,237000,-96.6538
4745,237300,-125.7492
4751,237600,-134.2431
4757,237900,-130.7127
4763,238200,-124.3261
4769,238500,-129.9933
4775,238800,-145.1752
4781,239100,-134.5949
4787,239400,-138.4033
4793,239700,-120.0549
4799,240000,-99.5551
4805,240300,-171.3022
4811,240600,-113.147
4817,240900,-124.4714
4823,241200,-165.9796
4829,241500,-112.2088
4835,241800,-158.444
4841,242100,-111.7144
4847,242400,-131.2037
4853,242700,-124.4834
4859,243000,-109.4358
4865,243300,-156.7583
4871,243600,-114.416
4877,243900,-120.5728
4883,244200,-162.5142
4889,244500,-137.5958
4895,244800,-144.7716
4901,245100,-139.9682
4907,245400,-124.0318
4913,245700,-148.5253
4919,246000,-111.5952
4925,246300,-128.2548
4931,246600,-147.9509
4937,246900,-161.3728
4943,247200,-167.5582
4949,247500,-152.9935
4955,247800,-144.7041
4961,248100,-132.0284
4967,248400,-128.6091
4973,248700,-135.2177
4979,249000,-126.5235
4985,249300,-128.6752
4991,249600,-121.4635
4997,249900,-139.7613
5003,250200,-170.5536
5009,250500,-145.3129
5015,250800,-98.2428
5021,251100,-132.5324
5027,251400,-142.3699
5033,251700,-123.1537
5039,252000,-142.3083
5045,252300,-124.2705
5051,252600,-120.9379
5057,252900,-139.2642
5063,253200,-107.7511
5069,253500,-146.8177
5075,253800,-111.2129
5081,254100,-151.0664
5087,254400,-152.5792
5093,254700,-117.6599
5099,255000,-138.915
5105,255300,-123.4933
5111,255600,-134.2014
5117,255900,-142.5729
5123,256200,-129.0525
5129,256500,-163.9074
5135,256800,-152.925
5141,257100,-152.4795
5147,257400,-113.5786
5153,257700,-133.0328
5159,258000,-128.3239
5165,258300,-135.0424
5171,258600,-153.205
5177,258900,-126.2838
5183,259200,-136.4081
